INET Node Characteristic File
118     0.80    1.00
  1     3.00    4.00     1        -1         0
  2     3.50    3.50     1        -2         0
  3     3.00    3.01     2        -3         0
  4     3.50    2.50     1        -4         0
  5     3.00    2.00     1        -5         0
  6     5.00    1.00     1        -6         0
  7     7.00    1.00     1        -7         0
  8     9.00    1.00     1        -8         0
  9    11.00    2.00     1        -9         0
 10    10.50    2.50     1       -10         0
 11    11.00    3.01     3         0         0
 12    10.50    3.50     1       -11         0
 13    11.00    4.00     1       -12         0
 14     9.00    5.00     1       -13         0
 15     7.00    5.00     1       -14         0
 16     5.00    5.00     1       -15         0
 17     6.50    3.75     1       -16         0
 18     6.50    2.25     1       -17         0
 19     7.50    2.25     1       -18         0
 20     7.50    3.75     1       -19         0
 21     3.00    2.99     3         0         0
 22    11.00    2.99     2       -20         0
100     4.50    3.01     4         0         0
101     4.75    3.01     4         0         0
102     5.25    3.01     4         0         0
103     5.50    3.01     4         0         0
104     6.50    3.01     4         0         0
105     6.75    3.01     4         0         0
106     7.25    3.01     4         0         0
107     7.50    3.01     4         0         0
108     8.50    3.01     4         0         0
109     8.75    3.01     4         0         0
110     9.25    3.01     4         0         0
111     9.50    3.01     4         0         0
112     4.50    2.99     4         0         0
113     4.75    2.99     4         0         0
114     5.25    2.99     4         0         0
115     5.50    2.99     4         0         12325.50
116     6.50    2.99     4         0         0
117     6.75    2.99     4         0         0
118     7.25    2.99     4         0         0
119     7.50    2.99     4         0         0
120     8.50    2.99     4         0         0
121     8.75    2.99     4         0         0
122     9.25    2.99     4         0         0
123     9.50    2.99     4         0         0
125     4.95    2.92     4         0         0
126     5.20    2.97     4         0         0
127     5.05    3.08     4         0         0
128     4.80    3.03     4         0         0
129     6.95    2.92     4         0         0
130     7.20    2.97     4         0         0
131     7.05    3.08     4         0         0
132     6.80    3.03     4         0         0
133     8.95    2.92     4         0         0
134     9.20    2.97     4         0         0
135     9.05    3.08     4         0         0
136     8.80    3.03     4         0         0
138     4.90    4.00     4         0         0
139     5.00    4.00     4         0         0
140     5.10    4.00     4         0         0
141     6.00    4.00     4         0         0
142     6.90    4.00     4         0         0
143     7.00    4.00     4         0         0
144     7.10    4.00     4         0         0
145     8.00    4.00     4         0         0
146     8.90    4.00     4         0         0
147     9.00    4.00     4         0         0
148     9.10    4.00     4         0         0
150     4.90    2.00     4         0         0
151     5.00    2.00     4         0         0
152     5.10    2.00     4         0         0
153     6.00    2.00     4         0         0
154     6.90    2.00     4         0         0
155     7.00    2.00     4         0         0
156     7.10    2.00     4         0         0
157     8.00    2.00     4         0         0
158     8.90    2.00     4         0         0
159     9.00    2.00     4         0         0
160     9.10    2.00     4         0         0
161     5.00    4.10     4         0         0
162     5.00    3.90     4         0         0
163     5.00    3.50     4         0         0
164     5.00    3.20     4         0         0
165     5.00    3.10     4         0         0
166     5.00    2.90     4         0         0
167     5.00    2.80     4         0         0
168     5.00    2.50     4         0         0
169     5.00    2.10     4         0         0
170     5.00    1.90     4         0         0
171     7.00    4.10     4         0         0
172     7.00    3.90     4         0         0
173     7.00    3.50     4         0         0
174     7.00    3.20     4         0         0
175     7.00    3.10     4         0         0
176     7.00    2.90     4         0         0
177     7.00    2.80     4         0         0
178     7.00    2.50     4         0         0
179     7.00    2.10     4         0         0
180     7.00    1.90     4         0         0
181     9.00    4.10     4         0         0
182     9.00    3.90     4         0         0
183     9.00    3.50     4         0         0
184     9.00    3.20     4         0         0
185     9.00    3.10     4         0         0
186     9.00    2.90     4         0         0
187     9.00    2.80     4         0         0
188     9.00    2.50     4         0         0
189     9.00    2.10     4         0         0
190     9.00    1.90     4         0         0
192     6.00    3.50     4         0         0
193     8.00    3.50     4         0         0
195     6.00    2.50     4         0         0
196     8.00    2.50     4         0         0
197     8.00    3.75     4         0         0
198     8.00    2.25     4         0         0
199     6.00    3.75     4         0         0
200     6.00    2.25     4         0         0

