INET O-D Traffic Demand File
30    0      0    0.5
 1  21  22  5500  1.0     0  1800   0.4   0.0   0.0   0.4  -0.2   0.1   -1.0
 2  21  22   500  1.0     0  1800  -1.0   0.0   0.0   0.0   0.0   0.1   -3.0
 3  11   3  3000  1.0     0  1800   1.0   0.0   0.0   0.0   0.0   0.1   -1.0
 4   1  13   500  1.0     0  2700  -1.0   0.0   0.0   0.0   0.0   0.0   -1.0
 5   1  16   250  1.0     0  2700   0.0  -1.0   0.0   0.0   0.0   0.0   -1.0
 6   1   2   250  1.0     0  2700   0.0   0.0  -1.0   0.0   0.0   0.0   -1.0
 7  15   1   500  1.0     0  2700  -1.0   0.0   0.0   0.0   0.0   0.0   -1.0
 8  17  16   100  1.0     0  2700   0.0   0.0  -1.0   0.0   0.0   0.0   -1.0
 9  15   2   250  1.0     0  2700   0.0  -1.0   0.0   0.0   0.0   0.0   -1.0
10  16   6   500  1.0     0  2700  -1.0   0.0   0.0   0.0   0.0   0.0   -1.0
11  16  15   250  1.0     0  2700   0.0  -1.0   0.0   0.0   0.0   0.0   -1.0
12  16   1   250  1.0     0  2700   0.0   0.0  -1.0   0.0   0.0   0.0   -1.0
13   6  16   500  1.0     0  2700  -1.0   0.0   0.0   0.0   0.0   0.0   -1.0
14   5   1   250  1.0     0  2700   0.0  -1.0   0.0   0.0   0.0   0.0   -1.0
15   2  15   100  1.0     0  2700   0.0   0.0  -1.0   0.0   0.0   0.0   -1.0
16   7  20   200  1.0     0  2700   0.0   1.0   0.0   0.0   0.0   0.0   -1.0
17   7   9   200  1.0     0  2700   0.0   1.0   0.0   0.0   0.0   0.0   -1.0
18   7   5   200  1.0     0  2700   0.0   1.0   0.0   0.0   0.0   0.0   -1.0
19   6  18   200  1.0     0  2700   0.0   1.0   0.0   0.0   0.0   0.0   -1.0
20   9  19   200  1.0     0  2700   0.0   1.0   0.0   0.0   0.0   0.0   -1.0
21   8  14   200  1.0     0  2700   0.0   1.0   0.0   0.0   0.0   0.0   -1.0
22  13  17   200  1.0     0  2700   0.0   1.0   0.0   0.0   0.0   0.0   -1.0
23  19  10   100  1.0     0  2700   0.0   1.0   0.0   0.0   0.0   0.0   -1.0
24  10  12   100  1.0     0  2700   0.0   1.0   0.0   0.0   0.0   0.0   -1.0
25  12   8   100  1.0     0  2700   0.0   1.0   0.0   0.0   0.0   0.0   -1.0
26  18   4   100  1.0     0  2700   0.0   1.0   0.0   0.0   0.0   0.0   -1.0
27  20  15   100  1.0     0  2700   0.0   1.0   0.0   0.0   0.0   0.0   -1.0
28  21  22  6000  1.0  1800  3600   0.4   0.0   0.0   0.4  -0.2   0.1   -1.0
29  21  22   550  1.0  1800  3600  -1.0   0.0   0.0   0.0   0.0   0.1   -3.0
30  11   3  4000  1.0  1800  3600   1.0   0.0   0.0   0.0   0.0   0.1   -1.0

